                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.96487,                 1.7941,                0.94018,                 0.0146,                0.57143,                0.57808,                0.45136,                0.80079,                 3.9569,                0.79955,             0.00028053,             0.00028053,             0.00028053
                     51,                0.84629,                 1.3802,                0.88197,                 0.0146,                0.57143,                0.57808,                0.45136,                0.80079,                 3.9569,                0.79955,             0.00028053,             0.00028053,             0.00028053
                     52,                 1.3043,                  2.104,                 1.0629,                 0.0146,                0.57143,                0.57808,                0.45136,                0.80079,                 3.9569,                0.79955,             0.00028031,             0.00028031,             0.00028031
                     53,                 1.0121,                 1.8044,                0.95002,                0.01946,                0.71429,                0.71776,                0.56329,                0.88546,                 3.8779,                0.80014,             0.00027987,             0.00027987,             0.00027987
                     54,                 1.0192,                 1.5426,                 1.0033,                0.01946,                0.71429,                0.71776,                0.56329,                0.88546,                 3.8779,                0.80014,             0.00027921,             0.00027921,             0.00027921
                     55,                 1.1566,                 2.9872,                 1.1712,                0.01946,                0.71429,                0.71776,                0.56329,                0.88546,                 3.8779,                0.80014,             0.00027833,             0.00027833,             0.00027833
                     56,                 1.2366,                  1.674,                  1.009,                0.02016,                0.71429,                0.71786,                0.54928,                0.92281,                 3.7624,                0.80979,             0.00027723,             0.00027723,             0.00027723
                     57,                 1.0351,                 1.5229,                 1.0003,                0.02016,                0.71429,                0.71786,                0.54928,                0.92281,                 3.7624,                0.80979,             0.00027592,             0.00027592,             0.00027592
                     58,                0.97181,                 1.8917,                0.92146,                0.02016,                0.71429,                0.71786,                0.54928,                0.92281,                 3.7624,                0.80979,             0.00027438,             0.00027438,             0.00027438
                     59,                0.92583,                  1.137,                0.84893,                0.02823,                      1,                 0.8612,                0.62169,                0.93351,                 3.5929,                0.81502,             0.00027262,             0.00027262,             0.00027262
                     60,                0.97851,                 1.3062,                0.91243,                0.02823,                      1,                 0.8612,                0.62169,                0.93351,                 3.5929,                0.81502,             0.00027064,             0.00027064,             0.00027064
                     61,                 1.1988,                 2.0351,                0.88976,                0.02823,                      1,                 0.8612,                0.62169,                0.93351,                 3.5929,                0.81502,             0.00026844,             0.00026844,             0.00026844
                     62,                0.86697,                 1.3808,                0.95958,                0.02857,                      1,                  0.995,                0.72022,                0.96772,                 3.3967,                0.82247,             0.00026602,             0.00026602,             0.00026602
                     63,                 1.2732,                 1.9124,                0.92786,                0.02857,                      1,                  0.995,                0.72022,                0.96772,                 3.3967,                0.82247,             0.00026338,             0.00026338,             0.00026338
                     64,                 1.0506,                  2.037,                0.94813,                0.02857,                      1,                  0.995,                0.72022,                0.96772,                 3.3967,                0.82247,             0.00026053,             0.00026053,             0.00026053
                     65,                 1.2202,                 1.3723,                 1.0166,                0.02767,                      1,                  0.995,                0.72062,                0.97289,                 3.2327,                 0.8294,             0.00025745,             0.00025745,             0.00025745
                     66,                 1.1397,                  1.352,                0.85997,                0.02767,                      1,                  0.995,                0.72062,                0.97289,                 3.2327,                 0.8294,             0.00025415,             0.00025415,             0.00025415
                     67,                0.92373,                 1.3854,                0.93626,                0.02767,                      1,                  0.995,                0.72062,                0.97289,                 3.2327,                 0.8294,             0.00025063,             0.00025063,             0.00025063
                     68,                 1.2503,                 1.3719,                 1.0035,                0.02724,                      1,                  0.995,                0.73871,                 0.9765,                 3.1268,                0.83777,             0.00024689,             0.00024689,             0.00024689
                     69,                0.77798,                 1.2305,                0.85478,                0.02724,                      1,                  0.995,                0.73871,                 0.9765,                 3.1268,                0.83777,             0.00024293,             0.00024293,             0.00024293
                     70,                 1.0299,                 1.3509,                0.85112,                0.02724,                      1,                  0.995,                0.73871,                 0.9765,                 3.1268,                0.83777,             0.00023875,             0.00023875,             0.00023875
                     71,                0.86557,                 1.1582,                0.85688,                0.02612,                      1,                  0.995,                  0.723,                 1.0078,                 3.0975,                0.84534,             0.00023436,             0.00023436,             0.00023436
                     72,                  1.084,                 1.7769,                0.86924,                0.02612,                      1,                  0.995,                  0.723,                 1.0078,                 3.0975,                0.84534,             0.00022974,             0.00022974,             0.00022974
                     73,                 1.0713,                 1.2833,                 0.8719,                0.02612,                      1,                  0.995,                  0.723,                 1.0078,                 3.0975,                0.84534,              0.0002249,              0.0002249,              0.0002249
                     74,                 1.0093,                 1.4172,                0.96257,                0.02564,                      1,                  0.995,                0.73638,                0.99555,                 3.1069,                0.84482,             0.00021984,             0.00021984,             0.00021984
                     75,                 1.0415,                 1.2387,                0.87244,                0.02564,                      1,                  0.995,                0.73638,                0.99555,                 3.1069,                0.84482,             0.00021456,             0.00021456,             0.00021456
                     76,                0.90879,                 1.2294,                0.84627,                0.02564,                      1,                  0.995,                0.73638,                0.99555,                 3.1069,                0.84482,             0.00020906,             0.00020906,             0.00020906
                     77,                0.89128,                 1.5373,                0.89055,                0.02482,                      1,                  0.995,                0.76035,                0.93116,                 3.0872,                0.82935,             0.00020335,             0.00020335,             0.00020335
                     78,                 1.0721,                 1.4366,                0.85306,                0.02482,                      1,                  0.995,                0.76035,                0.93116,                 3.0872,                0.82935,             0.00019741,             0.00019741,             0.00019741
                     79,                 0.9582,                 1.3148,                0.89845,                0.02482,                      1,                  0.995,                0.76035,                0.93116,                 3.0872,                0.82935,             0.00019125,             0.00019125,             0.00019125
                     80,                0.80501,                 1.9162,                0.97747,                0.02414,                      1,                  0.995,                0.79699,                0.88054,                 3.0393,                0.81567,             0.00018487,             0.00018487,             0.00018487
                     81,                0.95852,                 1.8917,                0.90424,                0.02414,                      1,                  0.995,                0.79699,                0.88054,                 3.0393,                0.81567,             0.00017827,             0.00017827,             0.00017827
                     82,                 1.2497,                 1.4989,                0.87667,                0.02414,                      1,                  0.995,                0.79699,                0.88054,                 3.0393,                0.81567,             0.00017145,             0.00017145,             0.00017145
                     83,                0.84263,                 1.2462,                0.84932,                0.02349,                      1,                  0.995,                0.78858,                0.84769,                 2.8917,                0.81037,             0.00016442,             0.00016442,             0.00016442
                     84,                  1.074,                 1.7459,                0.93188,                0.02349,                      1,                  0.995,                0.78858,                0.84769,                 2.8917,                0.81037,             0.00015716,             0.00015716,             0.00015716
                     85,                 0.7315,                 1.6359,                0.92928,                0.02349,                      1,                  0.995,                0.78858,                0.84769,                 2.8917,                0.81037,             0.00014968,             0.00014968,             0.00014968
                     86,                0.78882,                 1.7244,                0.90414,                0.02349,                      1,                  0.995,                0.78858,                0.84769,                 2.8917,                0.81037,             0.00014198,             0.00014198,             0.00014198
                     87,                 1.0087,                 1.3995,                0.96087,                      1,                0.78613,                  0.995,                0.75735,                0.82731,                 2.7311,                 0.8054,             0.00013406,             0.00013406,             0.00013406
                     88,                0.99844,                 1.8733,                0.83928,                      1,                0.78613,                  0.995,                0.75735,                0.82731,                 2.7311,                 0.8054,             0.00012593,             0.00012593,             0.00012593
                     89,                0.93674,                 1.2046,                0.93802,                      1,                0.78613,                  0.995,                0.75735,                0.82731,                 2.7311,                 0.8054,             0.00011757,             0.00011757,             0.00011757
                     90,                0.77037,                 1.7961,                0.80543,                      1,                0.78613,                  0.995,                0.75735,                0.82731,                 2.7311,                 0.8054,             0.00010899,             0.00010899,             0.00010899
                     91,                0.81306,                 1.5386,                0.81965,                      1,                0.56963,                  0.995,                0.76924,                0.81726,                 2.5484,                 0.8007,             0.00010019,             0.00010019,             0.00010019
                     92,                0.83424,                  1.584,                 1.0058,                      1,                0.56963,                  0.995,                0.76924,                0.81726,                 2.5484,                 0.8007,             9.1173e-05,             9.1173e-05,             9.1173e-05
                     93,                0.95999,                 1.6337,                 0.9431,                      1,                0.56963,                  0.995,                0.76924,                0.81726,                 2.5484,                 0.8007,             8.1935e-05,             8.1935e-05,             8.1935e-05
                     94,                0.80162,                 1.5432,                0.99693,                      1,                0.56963,                  0.995,                0.76924,                0.81726,                 2.5484,                 0.8007,             7.2477e-05,             7.2477e-05,             7.2477e-05
                     95,                0.86253,                 1.5213,                0.94174,                      1,                0.93967,                  0.995,                0.76923,                0.79876,                 2.3485,                0.79827,             6.2799e-05,             6.2799e-05,             6.2799e-05
                     96,                0.82011,                 1.5399,                0.91758,                      1,                0.93967,                  0.995,                0.76923,                0.79876,                 2.3485,                0.79827,             5.2901e-05,             5.2901e-05,             5.2901e-05
                     97,                0.63687,                 1.3295,                0.86829,                      1,                0.93967,                  0.995,                0.76923,                0.79876,                 2.3485,                0.79827,             4.2783e-05,             4.2783e-05,             4.2783e-05
                     98,                0.81572,                 1.6057,                0.85586,                      1,                0.93967,                  0.995,                0.76923,                0.79876,                 2.3485,                0.79827,             3.2446e-05,             3.2446e-05,             3.2446e-05
                     99,                0.95122,                 1.5402,                0.94349,                0.96381,                      1,                  0.995,                0.77589,                0.79918,                 2.1801,                0.79749,             2.1888e-05,             2.1888e-05,             2.1888e-05
